X Feature,r,rÂ²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.512989176042577,0.26315789473684204,0.19356964707988225,1.3024701806293193
"When playing games, I am generally... [Critical - Trusting]",0.3015113445777636,0.09090909090909088,0.46799444572435933,0.8864052604279183
"When playing games, I prefer to be...[Spontaneous - Conscientious]",0.09853292781642936,0.00970873786407768,0.8164430654255821,1.3562026818605375
"When playing games, I consider myself to be...[Self conscious- even tempered]",-0.40451991747794525,0.16363636363636364,0.32020595024821996,0.9910312089651149
"When playing games, I generally...[Prefer similarity - Am open to change]",0.5773502691896257,0.3333333333333333,0.1339745962155614,0.9258200997725514
I consider myself to be..._Equally motivated by external and internal factors,-0.7745966692414833,0.5999999999999999,0.02400819675573093,0.5175491695067657
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",0.3779644730092272,0.14285714285714282,0.355917683749582,0.3535533905932738
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",0.4999999999999999,0.2499999999999999,0.20703125,0.5345224838248488
Beating my competitors,0.2581988897471611,0.06666666666666665,0.5369633243867579,0.5175491695067657
Mastering the game,0.0,0.0,1.0,0.5345224838248488
Earning the most points,0.3779644730092272,0.14285714285714282,0.355917683749582,0.3535533905932738
Working with a team,1.3877787807814457e-17,1.925929944387236e-34,1.0,0.4629100498862757
Feeling immersed in the story/plot,-2.7755575615628914e-17,7.703719777548943e-34,1.0,0.5345224838248488
